rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,gross_tertiary_education_enrollment,population,unemployment_rate,urban_population,created_at
613,Camilo,15900000,6802382479.0,Music,Camilo,132,Colombia,CO,Music,871.0,8.0,59890000.0,15000.0,239600.0,179700.0,2900000.0,100000.0,51.3,50339443.0,9.71,40827302.0,2010-07-29
363,Canal Canalha,20800000,1870608170.0,Comedy,Canal Canalha,288,Brazil,BR,Comedy,5407.0,18.0,23897000.0,6000.0,95600.0,71700.0,1100000.0,346475.11533930287,88.2,212559417.0,12.08,183241641.0,2011-04-08
595,Canal IN,16100000,2687443643.0,People & Blogs,Canal IN,723,Brazil,BR,Entertainment,3338.0,32.0,13802000.0,3500.0,55200.0,41400.0,662500.0,258350.85235509893,88.2,212559417.0,12.08,183241641.0,2017-07-21
24,Canal KondZilla,66500000,36775585925.0,Music,Canal KondZilla,2572,Brazil,BR,Music,25.0,1.0,447223000.0,0.0,0.0,0.0,0.0,658143.1646991421,88.2,212559417.0,12.08,183241641.0,2012-03-21
717,Canal Nostalgia,14700000,1506796393.0,Entertainment,Canal Nostalgia TV,554,Spain,ES,Entertainment,325721.0,1549.0,226420.0,57.0,906.0,679.0,10900.0,600.0,28.1,47076781.0,13.96,37927409.0,2010-02-19
79,CarryMinati,39200000,3294013141.0,Comedy,CarryMinati,186,India,IN,Comedy,2487.0,21.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,94.3,1366417754.0,5.36,471031528.0,2014-10-30
945,CaseyNeistat,12600000,3152402405.0,People & Blogs,CaseyNeistat,1101,United States,US,People,2681.0,174.0,5952000.0,1500.0,23800.0,17900.0,285700.0,100000.0,88.2,328239523.0,14.7,270663028.0,2010-02-15
989,Caylus,12400000,4779139505.0,Education,Caylus,1340,United States,US,Games,1442.0,175.0,177600000.0,44400.0,710400.0,532800.0,8500000.0,400000.0,88.2,328239523.0,14.7,270663028.0,2016-04-06
126,Ch3Thailand,33500000,29611914495.0,Entertainment,Ch3Thailand,96214,Thailand,TH,Entertainment,41.0,3.0,61307000.0,0.0,0.0,0.0,0.0,100000.0,28.1,69625582.0,0.75,35294600.0,2014-05-29
569,Ch7HD,16400000,9463244435.0,Entertainment,Ch7HD,56203,Thailand,TH,Entertainment,496.0,9.0,87757000.0,21900.0,351000.0,263300.0,4200000.0,100000.0,28.1,69625582.0,0.75,35294600.0,2010-05-17
720,Chad Wild Clay,14700000,6751985988.0,Comedy,Chad Wild Clay,698,United States,US,Entertainment,885.0,154.0,36338000.0,9100.0,145400.0,109000.0,1700000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2006-03-26
675,Chapitosiki,15100000,13897932103.0,Entertainment,Chapitosiki,2717,Russia,RU,Entertainment,256.0,9.0,713509000.0,178400.0,2900000.0,2100000.0,34200000.0,700000.0,88.2,144373535.0,4.59,107683889.0,2020-01-24
319,Charlie Puth,22000000,9924807127.0,Music,Charlie Puth,157,United States,US,Music,449.0,94.0,111500000.0,27900.0,446000.0,334500.0,5400000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2009-09-09
678,Chetan Monga Vlogs,15000000,9924103188.0,People & Blogs,Chetan Monga Vlogs,899,India,IN,People,457.0,104.0,113572000.0,28400.0,454300.0,340700.0,5500000.0,400000.0,94.3,1366417754.0,5.36,471031528.0,2014-08-17
248,Chloe Ting,24700000,2994726412.0,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897.0,2.0,23263000.0,5800.0,93100.0,69800.0,1100000.0,417663.4464517424,36.3,25766605.0,5.27,21844756.0,2011-08-17
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18.0,7.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,500000.0,94.3,1366417754.0,5.36,471031528.0,2013-02-09
419,Clash of Clans,19600000,3961318438.0,Gaming,Clash of Clans,674,United States,US,Games,1934.0,113.0,22292000.0,5600.0,89200.0,66900.0,1100000.0,325966.288779904,88.2,328239523.0,14.7,270663028.0,2013-01-31
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,88.2,328239523.0,14.7,270663028.0,2006-09-01
851,Codiscos,13400000,11789678655.0,Music,Codiscos,7356,Colombia,CO,Music,330.0,9.0,228902000.0,57200.0,915600.0,686700.0,11000000.0,100000.0,51.3,50339443.0,9.71,40827302.0,2007-02-08
760,Coke Studio,14400000,4035738731.0,Music,Rohail Hyatt,450,United States,US,Music,23796.0,962.0,3557000.0,889.0,14200.0,10700.0,170700.0,10000.0,88.2,328239523.0,14.7,270663028.0,2008-06-04
233,Coldplay,25300000,17331663193.0,Music,Coldplay,398,United Kingdom,GB,Music,160.0,8.0,198875000.0,49700.0,795500.0,596600.0,9500000.0,100000.0,88.2,66834405.0,3.85,55908316.0,2010-01-03
721,CollegeHumor,14700000,7255848125.0,Comedy,CollegeHumor,4340,United States,US,Comedy,798.0,154.0,55583000.0,0.0,0.0,0.0,0.0,237882.91450165265,88.2,328239523.0,14.7,270663028.0,2006-10-09
268,Collins Key,23900000,6582932625.0,Entertainment,Collins Key,257,United States,US,Entertainment,911.0,79.0,10853000.0,2700.0,43400.0,32600.0,520900.0,409299.10851684026,88.2,328239523.0,14.7,270663028.0,2011-08-09
723,Colors Rishtey,14700000,12362331529.0,Entertainment,Colors Rishtey,23490,India,IN,Entertainment,310.0,105.0,347603000.0,86900.0,1400000.0,1000000.0,16700000.0,400000.0,94.3,1366417754.0,5.36,471031528.0,2013-11-28
27,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,94.3,1366417754.0,5.36,471031528.0,2008-06-13
848,Conor Maynard,13500000,2750993392.0,Music,Conor Maynard,321,United States,US,Music,3257.0,165.0,10787000.0,2700.0,43100.0,32400.0,517800.0,208063.5765601651,88.2,328239523.0,14.7,270663028.0,2006-05-19
392,CookieSwirlC,20100000,23353115850.0,Entertainment,CookieSwirlC,3774,United States,US,Games,86.0,108.0,221702000.0,55400.0,886800.0,665100.0,10600000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2013-11-03
886,CookingShooking Hindi,13200000,1758603195.0,People & Blogs,CookingShooking Hindi,393,India,IN,Howto,5855.0,118.0,11490000.0,2900.0,46000.0,34500.0,551500.0,200997.72570396404,94.3,1366417754.0,5.36,471031528.0,2017-04-04
550,CoryxKenshin,16700000,7102965621.0,Gaming,CoryxKenshin,1693,United States,US,Games,814.0,135.0,105114000.0,26300.0,420500.0,315300.0,5000000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2009-04-27
408,Crafty Panda,19800000,5759442450.0,People & Blogs,Crafty Panda,760,United States,US,Entertainment,1120.0,111.0,6137000.0,1500.0,24500.0,18400.0,294600.0,100000.0,88.2,328239523.0,14.7,270663028.0,2017-12-03
705,CrashCourse,14800000,1833519700.0,Education,CrashCourse,1481,United States,US,Education,5533.0,153.0,7177000.0,1800.0,28700.0,21500.0,344500.0,232165.74216017465,88.2,328239523.0,14.7,270663028.0,2006-05-20
200,Crazy XYZ,27300000,7705492350.0,Entertainment,Crazy XYZ,1259,India,IN,Tech,707.0,48.0,102235000.0,25600.0,408900.0,306700.0,4900000.0,100000.0,94.3,1366417754.0,5.36,471031528.0,2017-09-10
802,Crescendo com Luluca,14000000,5094050461.0,Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,1327.0,44.0,68058000.0,17000.0,272200.0,204200.0,3300000.0,100000.0,88.2,212559417.0,12.08,183241641.0,2015-08-30
758,Cyprien,14400000,3086254545.0,Comedy,Cyprien,222,France,FR,Comedy,2767.0,2.0,11417000.0,2900.0,45700.0,34300.0,548000.0,226048.87722335765,28.1,67059887.0,8.43,54123364.0,2007-02-25
215,D Billions,26200000,31977463002.0,Music,D Billions,775,United States,US,Entertainment,33.0,64.0,487076000.0,121800.0,1900000.0,1500000.0,23400000.0,200000.0,88.2,328239523.0,14.7,270663028.0,2019-07-27
834,DALLMYD,13600000,1948925559.0,Sports,DALLMYD,412,United States,US,Sports,5133.0,164.0,30677000.0,7700.0,122700.0,92000.0,1500000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2011-02-01
972,DEV Ke Facts,12400000,1971226335.0,Music,DEV Ke Facts,218,India,IN,Education,5034.0,124.0,273670000.0,68400.0,1100000.0,821000.0,13100000.0,600000.0,94.3,1366417754.0,5.36,471031528.0,2012-09-29
900,DJ Khaled,13100000,6637820731.0,Music,DjKhaled,12,Samoa,WS,Music,3967392.0,81.0,379.0,0.09,2.0,1.0,18.0,3.0,88.2,202506.0,8.36,35588.0,2006-05-27
